epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
11,545.415,0.61326,0.65617,0.92158,0.92799,0.90209,0.96353,0.84213,0.5668,0.83105,0.87781,0.001802,0.001802,0.001802
12,593.415,0.5879,0.6401,0.90965,0.94116,0.9325,0.97801,0.86747,0.53535,0.73524,0.86356,0.0017822,0.0017822,0.0017822
13,640.106,0.5522,0.63194,0.89884,0.91588,0.95125,0.9732,0.85962,0.5355,0.73585,0.85625,0.0017624,0.0017624,0.0017624
14,686.718,0.56402,0.59195,0.90341,0.95202,0.95493,0.98207,0.87531,0.5228,0.68533,0.86777,0.0017426,0.0017426,0.0017426
15,734.175,0.55002,0.57676,0.90013,0.941,0.96693,0.97939,0.87561,0.51028,0.69593,0.86896,0.0017228,0.0017228,0.0017228
16,785.546,0.54324,0.57655,0.89508,0.92856,0.94635,0.96938,0.86074,0.50195,0.72025,0.85415,0.001703,0.001703,0.001703
17,832.389,0.56198,0.58464,0.89823,0.92747,0.95344,0.96907,0.86597,0.48219,0.73537,0.84978,0.0016832,0.0016832,0.0016832
18,877.608,0.56082,0.58494,0.90094,0.90942,0.93815,0.96765,0.86375,0.48654,0.71076,0.84349,0.0016634,0.0016634,0.0016634
19,923.999,0.56189,0.58286,0.90163,0.94198,0.95381,0.98394,0.89256,0.46916,0.61597,0.84062,0.0016436,0.0016436,0.0016436
20,970.166,0.54247,0.54079,0.8941,0.92982,0.9525,0.97951,0.87757,0.50017,0.66141,0.85476,0.0016238,0.0016238,0.0016238
21,1016,0.55147,0.54547,0.89581,0.93194,0.96906,0.98213,0.89264,0.47863,0.63221,0.84602,0.001604,0.001604,0.001604
22,1061.73,0.54494,0.54105,0.89922,0.92329,0.96562,0.97934,0.86657,0.51542,0.70721,0.85108,0.0015842,0.0015842,0.0015842
23,1108.85,0.56057,0.53778,0.89611,0.93257,0.95513,0.97977,0.88211,0.47629,0.75465,0.84011,0.0015644,0.0015644,0.0015644
24,1154.89,0.56871,0.55829,0.91522,0.96293,0.96606,0.98875,0.89766,0.45493,0.56903,0.83979,0.0015446,0.0015446,0.0015446
25,1200.87,0.54241,0.56236,0.89796,0.96448,0.96723,0.98804,0.8985,0.45965,0.55177,0.83373,0.0015248,0.0015248,0.0015248
26,1247.22,0.52171,0.5231,0.88423,0.93229,0.96781,0.97951,0.88955,0.473,0.60819,0.83885,0.001505,0.001505,0.001505
27,1292.89,0.5344,0.52286,0.88885,0.94569,0.97719,0.98521,0.90174,0.43936,0.56514,0.83145,0.0014852,0.0014852,0.0014852
28,1338.81,0.50833,0.49677,0.88561,0.98112,0.98344,0.99304,0.91204,0.42155,0.48585,0.82853,0.0014654,0.0014654,0.0014654
29,1387.19,0.49546,0.47907,0.87531,0.98079,0.98923,0.99361,0.91906,0.41498,0.46565,0.81922,0.0014456,0.0014456,0.0014456
30,1433.02,0.49855,0.48535,0.8703,0.98008,0.98402,0.99322,0.92134,0.40776,0.46404,0.81713,0.0014258,0.0014258,0.0014258
